X,Y,ConsentNo,ConsentType,ConsentSource,ConsentStatus,,FeatureType,,ActivityText,EstAllocation,EstMethod,MaxRate,MaxVolume,consecDays,NZTMX,NZTMY
1465841.962,5104390.12,CRC970177,Water Permit (s14),Renewal,Issued - Active,,Water Take/Use,,Take Surface Water,137066,,38,9850,7,1465841,5104390
1412757.975,5024382.726,CRC021504.1,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,1273546,,110,95040,10,1412757,5024382
1593224.578,5256328.945,CRC136699,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,85971,,10,5796,10,1593224,5256328
1398670.557,5045755.138,CRC180502,Water Permit (s14),Notice of Review,Issued - Active,,Water Take/Use,,Take Surface Water,996877,,230,157248,14,1398670,5045755
1463241.502,5106588.962,CRC970545,Water Permit (s14),Renewal,Issued - Active,,Water Take/Use,,Take Surface Water,365876,,78,112320,30,1463241,5106588
1637452.19,5282159.947,CRC153267,Water Permit (s14),Part Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,423552,,25,4320,1,1637452,5282159
1526013.961,5196781.392,CRC176521,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,526435,,49,4233.6,1,1526013,5196781
1429834.937,5134078.265,CRC153907,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,0,,7.5,648,1,1429834,5134078
1594516.862,5279750.43,CRC012581,Water Permit (s14),New Consent,Issued - Active,,Water Take/Use,,Take Surface Water,93331,,15,9720,9,1594516,5279750
1604092.84,5275650.754,CRC951298,Water Permit (s14),Renewal,Issued - Active,,Water Take/Use,,Take Surface Water,2548780,,450,,,1604092,5275650
1391439.446,5045320.163,CRC022184.3,Water Permit (s14),Part Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,1511025,,56,2419,1,1391439,5045320
1569142.909,5195161.485,CRC171675,Water Permit (s14),Change in Conditions,Issued - Active,,Water Take/Use,,Take Surface Water,226880,,23,1987,1,1569142,5195161
1391439.446,5045320.163,CRC022184.3,Water Permit (s14),Part Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,,,70,,,1391439,5045320
1581928.439,5229563.495,CRC040869,Water Permit (s14),Renewal,Issued - Active,,Water Take/Use,,Take Surface Water,207500,,73,2510,1,1581928,5229563
1400736.04,5118869.048,CRC012000,Water Permit (s14),Renewal,Issued - Active,,Water Take/Use,,Take Surface Water,116522,,170,14162,7,1400736,5118869
1420916.048,5120200.148,SCY700181,Water Permit (s14),Existing Use of Water,Issued - s124 Continuance,,Water Take/Use,,Take Surface Water,0,,17,1468,1,1420916,5120200
1628827.829,5298221.42,CRC042221.1,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,501258,,50,30000,10,1628827,5298221
