,RecordNo,ActivityType,WaterUse,IrrigationOf,PrimaryIrrigationType,IrrigatedAreaHa,MaxRateLs,VolumeM3,ConsecutiveDayPeriod
0,CRC133211,Use Groundwater,Irrigation,Pasture,Spray,260.0,157.0,,
0,CRC133211,Use Groundwater,Irrigation,Pasture,Spray,260.0,157.0,,
0,CRC133211,Use Groundwater,Irrigation,Pasture,Spray,260.0,157.0,,
0,CRC185446,Use Groundwater,Irrigation,Cropping,Spray,13.0,,,
0,CRC133211,Use Groundwater,Irrigation,Pasture,Spray,260.0,157.0,,
0,CRC074057,Use Groundwater,Public Water Supply,,,,80.0,6912.0,1.0
0,CRC185382,Use Groundwater,Irrigation,Pasture,Spray,16.0,,,
0,CRC091935,Use Groundwater,Irrigation,Pasture,Spray,110.0,40.0,,
0,CRC133211,Use Groundwater,Irrigation,Pasture,Spray,260.0,157.0,,
0,CRC136348,Use Groundwater,Irrigation,Pasture,Spray,170.0,90.0,,
0,CRC155287,Use Groundwater,Irrigation,Pasture,Spray,241.72,135.0,76990.0,7.0
0,CRC144575,Use Groundwater,Irrigation,Pasture,Spray,241.72,135.0,,
0,CRC155611,Use Groundwater,Irrigation,Pasture,Spray,530.0,307.0,,
0,CRC131494,Use Groundwater,Irrigation,Pasture,Spray,200.0,126.0,10886.0,1.0
0,CRC143124,Use Groundwater,Irrigation,Pasture,Spray,318.0,192.0,,
0,CRC143130,Use Groundwater,Domestic Use,,,,174.0,,
0,CRC143124,Use Groundwater,Irrigation,Pasture,Spray,318.0,192.0,,
0,CRC143124,Use Groundwater,Irrigation,Pasture,Spray,318.0,192.0,,
0,CRC142128,Use Groundwater,Irrigation,Pasture,Spray,202.0,125.0,118800.0,12.0
0,CRC143130,Use Groundwater,Domestic Use,,,,174.0,,
0,CRC143130,Use Groundwater,Domestic Use,,,,174.0,,
0,CRC131494,Use Groundwater,Irrigation,Pasture,Spray,200.0,126.0,10886.0,1.0
0,CRC142128,Use Groundwater,Irrigation,Pasture,Spray,202.0,125.0,118800.0,12.0
0,CRC143436,Use Groundwater,Irrigation,Pasture,Spray,270.0,156.5,68780.0,5.0
0,CRC143124,Use Groundwater,Irrigation,Pasture,Spray,318.0,192.0,,
0,CRC142128,Use Groundwater,Irrigation,Pasture,Spray,202.0,125.0,118800.0,12.0
